img_1,img_2,label,dir,x1,x2,y1,y2,cx,cy
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,96,0,96,47,47
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,96,47,143,47,94
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,96,94,190,47,141
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,96,141,237,47,188
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,96,188,284,47,235
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,96,235,331,47,282
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,96,282,378,47,329
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,96,329,425,47,376
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,96,376,472,47,423
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,47,143,0,96,94,47
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,47,143,47,143,94,94
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,47,143,94,190,94,141
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,47,143,141,237,94,188
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,47,143,188,284,94,235
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,47,143,235,331,94,282
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,47,143,282,378,94,329
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,47,143,329,425,94,376
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,47,143,376,472,94,423
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,94,190,0,96,141,47
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,94,190,47,143,141,94
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,94,190,94,190,141,141
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,94,190,141,237,141,188
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,94,190,188,284,141,235
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,94,190,235,331,141,282
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,94,190,282,378,141,329
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,94,190,329,425,141,376
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,94,190,376,472,141,423
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,141,237,0,96,188,47
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,141,237,47,143,188,94
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,141,237,94,190,188,141
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,141,237,141,237,188,188
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,141,237,188,284,188,235
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,141,237,235,331,188,282
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,141,237,282,378,188,329
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,141,237,329,425,188,376
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,141,237,376,472,188,423
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,188,284,0,96,235,47
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,188,284,47,143,235,94
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,188,284,94,190,235,141
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,188,284,141,237,235,188
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,188,284,188,284,235,235
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,188,284,235,331,235,282
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,188,284,282,378,235,329
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,188,284,329,425,235,376
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,188,284,376,472,235,423
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,235,331,0,96,282,47
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,235,331,47,143,282,94
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,235,331,94,190,282,141
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,235,331,141,237,282,188
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,235,331,188,284,282,235
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,235,331,235,331,282,282
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,235,331,282,378,282,329
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,235,331,329,425,282,376
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,235,331,376,472,282,423
