img_1,img_2,label,dir,x1,x2,y1,y2,cx,cy
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,128,0,128,63,63
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,128,63,191,63,126
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,128,126,254,63,189
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,128,189,317,63,252
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,128,252,380,63,315
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,0,128,315,443,63,378
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,63,191,0,128,126,63
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,63,191,63,191,126,126
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,63,191,126,254,126,189
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,63,191,189,317,126,252
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,63,191,252,380,126,315
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,63,191,315,443,126,378
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,126,254,0,128,189,63
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,126,254,63,191,189,126
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,126,254,126,254,189,189
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,126,254,189,317,189,252
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,126,254,252,380,189,315
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,126,254,315,443,189,378
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,189,317,0,128,252,63
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,189,317,63,191,252,126
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,189,317,126,254,252,189
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,189,317,189,317,252,252
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,189,317,252,380,252,315
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,189,317,315,443,252,378
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,252,380,0,128,315,63
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,252,380,63,191,315,126
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,252,380,126,254,315,189
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,252,380,189,317,315,252
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,252,380,252,380,315,315
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,252,380,315,443,315,378
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,315,443,0,128,378,63
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,315,443,63,191,378,126
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,315,443,126,254,378,189
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,315,443,189,317,378,252
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,315,443,252,380,378,315
0.jpg,1.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-1-annotation-1-by-1-tag-deforest-0.png,10001_0,315,443,315,443,378,378
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,0,128,0,128,63,63
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,0,128,63,191,63,126
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,0,128,126,254,63,189
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,0,128,189,317,63,252
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,0,128,252,380,63,315
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,0,128,315,443,63,378
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,63,191,0,128,126,63
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,63,191,63,191,126,126
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,63,191,126,254,126,189
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,63,191,189,317,126,252
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,63,191,252,380,126,315
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,63,191,315,443,126,378
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,126,254,0,128,189,63
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,126,254,63,191,189,126
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,126,254,126,254,189,189
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,126,254,189,317,189,252
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,126,254,252,380,189,315
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,126,254,315,443,189,378
1.jpg,2.jpg,10001_0\project-4-at-2023-11-10-23-07-d613f6c0\task-2-annotation-2-by-1-tag-deforest-0.png,10001_0,189,317,0,128,252,63
